home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
AFC Bournemouth,Newcastle United,1,1,1,1,4-4-1-1,4-3-3,",Neto,Adam Smith,Jack Stephens,Marcos Senesi,Jordan Zemura,Dango Ouattara,Jefferson Lerma,Philip Billing,Jaidon Anthony,Hamed Junior Traoré,Dominic Solanke",",Allan Saint-Maximin,Alexander Isak,Miguel Almiron,Joelinton,Sean Longstaff,Joseph Willock,Dan Burn,Sven Botman,Fabian Schar,Kieran Trippier,Nick Pope","Mark Travers,Ryan Fredericks,Chris Mepham,Matias Vina,Joe Rothwell,Marcus Tavernier,Ryan Christie,Kieffer Moore,Antoine Semenyo","Martin Dubravka,Paul Dummett,Jamal Lewis,Anthony Gordon,Matt Ritchie,Jacob Murphy,Elliot Anderson,Lewis Miley,Ryan Fraser",Gary O'Neil,Eddie Howe,Referee: Stuart Attwell (England),Feb 11,Venue: Vitality Stadium,5,7,5,5,8,10,4,6,22,21,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Leeds United,Manchester United,0,2,0,0,4-2-3-1,4-2-3-1,",Illan Meslier,Luke Ayling,Robin Koch,Maximilian Wober,Junior Firpo,Weston McKennie,Tyler Adams,Crysencio Summerville,Jack Harrison,Wilfried Gnonto,Patrick Bamford",",Wout Weghorst,Marcus Rashford,Bruno Fernandes,Jadon Sancho,Marcel Sabitzer,Fred,Tyrell Malacia,Luke Shaw,Harry Maguire,Diogo Dalot,David De Gea","Joel Robles,Rasmus Kristensen,Diogo Pinheiro Monteiro,Jeremiah Chilokoa-Mullen,Brenden Aaronson,Darko Gyabi,Georginio Rutter,Sam Greenwood,Mateo Joseph Fernandez","Tom Heaton,Victor Lindelof,Lisandro Martinez,Raphael Varane,Aaron Wan-Bissaka,Facundo Pellistri,Zidane Iqbal,Anthony Elanga,Alejandro Garnacho",Michael Skubala,Erik ten Hag,Referee: Paul Tierney (England),Feb 12,Venue: Elland Road,6,5,4,4,10,13,7,3,19,16,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Manchester City,Aston Villa,3,1,3,0,3-2-4-1,4-4-2,",Ederson,Kyle Walker,Ruben Dias,Aymeric Laporte,Rodri,Ilkay Gundogan,Riyad Mahrez,Kevin De Bruyne,Bernardo Silva,Jack Grealish,Erling Haaland",",Ollie Watkins,Leon Bailey,Emiliano Buendia,Douglas Luiz,Boubacar Kamara,Jacob Ramsey,Lucas Digne,Calum Chambers,Ezri Konsa,Ashley Young,Emiliano Martinez","Stefan Ortega,Nathan Ake,Manuel Akanji,Rico Lewis,Kalvin Phillips,Sergio Gomez,Phil Foden,Cole Palmer,Julian Alvarez","Viljami Sinisalo,Oliwier Zych,Matty Cash,Sil Swinkels,John McGinn,Alex Moreno,Jhon Duran,Philippe Coutinho,Leander Dendoncker",Josep Guardiola,Unai Emery,Referee: Robert Jones (England),Feb 12,Venue: Etihad Stadium,9,2,3,2,13,14,8,4,13,11,H,won at ht and won at ft,lost at ht and ft,won either half,won either half
Liverpool,Everton,2,0,1,0,4-3-3,4-3-3,",Alisson,Trent Alexander-Arnold,Joel Matip,Joe Gomez,Andy Robertson,Jordan Henderson,Fabinho,Stefan Bajcetic,Mohamed Salah,Darwin Nunez,Cody Gakpo",",Dwight McNeil,Ellis Reco Simms,Alex Iwobi,Amadou Mvom Onana,Idrissa Gueye,Abdoulaye Doucoure,Vitaliy Mykolenko,James Tarkowski,Conor Coady,Seamus Coleman,Jordan Pickford","Caoimhin Kelleher,Virgil Van Dijk,Kostas Tsimikas,Nathaniel Phillips,James Milner,Naby Keita,Harvey Elliott,Roberto Firmino,Diogo Jota","Asmir Begovic,Mason Holgate,Michael Keane,Yerry Mina,Ben Godfrey,Ruben Vinagre,Tom Davies,Demarai Gray,Neal Maupay",Jurgen Klopp,Sean Dyche,Referee: Simon Hooper (England),Feb 13,Venue: Anfield,6,1,4,3,8,16,3,3,25,18,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Arsenal,Manchester City,1,3,1,1,4-3-3,3-2-4-1,",Aaron Ramsdale,Takehiro Tomiyasu,William Saliba,Gabriel Magalhaes,Oleksandr Zinchenko,Martin Odegaard,Jorginho,Granit Xhaka,Bukayo Saka,Eddie Nketiah,Gabriel Martinelli",",Erling Haaland,Jack Grealish,Kevin De Bruyne,Bernardo Silva,Riyad Mahrez,Rodri,Ilkay Gundogan,Nathan Ake,Ruben Dias,Kyle Walker,Ederson","Matt Turner,Kieran Tierney,Ben White,Jakub Kiwior,Rob Holding,Fabio Vieira,Amario Cozier-Duberry,Leandro Trossard,Reiss Nelson","Stefan Ortega,Aymeric Laporte,Manuel Akanji,Rico Lewis,Kalvin Phillips,Sergio Gomez,Phil Foden,Cole Palmer,Julian Alvarez",Mikel Arteta,Josep Guardiola,Referee: Anthony Taylor (England),Feb 15,Venue: Emirates Stadium,1,6,4,1,11,15,1,2,21,18,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Aston Villa,Arsenal,2,4,2,1,4-4-2,4-3-3,",Emiliano Martinez,Matty Cash,Ezri Konsa,Tyrone Mings,Alex Moreno,John McGinn,Douglas Luiz,Boubacar Kamara,Philippe Coutinho,Emiliano Buendia,Ollie Watkins",",Leandro Trossard,Eddie Nketiah,Bukayo Saka,Granit Xhaka,Jorginho,Martin Odegaard,Oleksandr Zinchenko,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Viljami Sinisalo,Calum Chambers,Ashley Young,Lucas Digne,Jhon Duran,Leon Bailey,Leander Dendoncker,Jacob Ramsey,Bertrand Traore","Matt Turner,Kieran Tierney,Jakub Kiwior,Rob Holding,Takehiro Tomiyasu,Emile Smith-Rowe,Fabio Vieira,Gabriel Martinelli,Reiss Nelson",Unai Emery,Mikel Arteta,Referee: Simon Hooper (England),Feb 18,Venue: Villa Park,5,5,1,8,13,4,2,9,12,36,A,won at ht and lost at ft,lost at ht and won at ft,won either half,won either half
Brentford,Crystal Palace,1,1,0,0,4-3-3,4-2-3-1,",David Raya,Aaron Hickey,Ethan Pinnock,Ben Mee,Rico Henry,Josh Dasilva,Christian Norgaard,Mathias Jensen,Bryan Mbeumo,Ivan Toney,Yoane Wissa",",Jean-Philippe Mateta,Jeffrey Schlupp,Michael Olise,Jordan Ayew,Albert Sambi Lokonga,Cheick Oumar Doucoure,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Nathaniel Clyne,Vicente Guaita","Matthew Cox,Zanka,Kristoffer Ajer,Mads Roerslev Rasmussen,Shandon Baptiste,Vitaly Janelt,Kevin Schade,Keane Lewis-Potter,Mikkel Damsgaard","Joe Whitworth,Chris Richards,Luka Milivojevic,Eberechi Eze,James McArthur,Will Hughes,Naouirou Ahamada,Jairo Riedewald,Odsonne Edouard",Thomas Frank,Patrick Vieira,Referee: Paul Tierney (England),Feb 18,Venue: Gtech Community Stadium,5,4,5,2,10,8,2,6,32,10,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Brighton & Hove Albion,Fulham,0,1,0,0,4-2-3-1,4-2-3-1,",Robert Sanchez,Joel Veltman,Adam Webster,Lewis Dunk,Pervis Estupinan,Pascal Gross,Moisés Caicedo,Solly March,Alexis MacAllister,Kaoru Mitoma,Evan Ferguson",",Bobby Reid,Willian,Andreas Pereira,Harry Wilson,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Issa Diop,Kenny Tete,Bernd Leno","Jason Steele,Tariq Lamptey,Jan Paul Van Hecke,Jeremy Sarmiento,Yasin Abbas Ayari,Facundo Valentin Buonanotte,Jack Hinshelwood,Julio Cesar Enciso,Deniz Undav","Marek Rodak,Layvin Kurzawa,Tosin Adarabioyo,Shane Duffy,Cedric Soares,Manor Solomon,Sasa Lukic,Daniel James,Carlos Vinicius",Roberto De Zerbi,Marco Silva,Referee: Darren England (England),Feb 18,Venue: The American Express Community Stadium,7,2,10,0,12,14,10,2,12,9,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Chelsea,Southampton,0,1,0,1,4-2-3-1,5-3-2,",Kepa Arrizabalaga,Cesar Azpilicueta,Benoit Badiashile,Kalidou Koulibaly,Ben Chilwell,Mateo Kovacic,Enzo Fernandez,Noni Madueke,Joao Felix,Mason Mount,David Datro Fofana",",Paul Onuachu,Kamal-Deen Sulemana,Mohamed Elyounoussi,Romeo Lavia,James Ward-Prowse,Romain Perraud,Armel Bella-Kotchap,Jan Bednarek,Ainsley Maitland-Niles,Stuart Armstrong,Gavin Bazunu","Marcus Bettinelli,Trevoh Chalobah,Wesley Fofana,Denis Zakaria,Conor Gallagher,Lewis Hall,Mykhailo Mudryk,Raheem Sterling,Kai Havertz","Willy Caballero,Kyle Walker-Peters,Lyanco,Moussa Djenepo,Carlos Jonas Alcaraz,Ibrahima Diallo,Adam Armstrong,Sekou Mara,Theo Walcott",Graham Potter,Ruben Selles,Referee: David Coote (England),Feb 18,Venue: Stamford Bridge,4,4,5,3,16,24,8,2,26,15,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Everton,Leeds United,1,0,0,0,4-3-3,4-2-3-1,",Jordan Pickford,Seamus Coleman,Conor Coady,James Tarkowski,Vitaliy Mykolenko,Abdoulaye Doucoure,Idrissa Gueye,Amadou Mvom Onana,Alex Iwobi,Neal Maupay,Dwight McNeil",",Patrick Bamford,Wilfried Gnonto,Jack Harrison,Crysencio Summerville,Tyler Adams,Weston McKennie,Junior Firpo,Maximilian Wober,Robin Koch,Luke Ayling,Illan Meslier","Asmir Begovic,Mason Holgate,Michael Keane,Yerry Mina,Ben Godfrey,Ruben Vinagre,Tom Davies,Demarai Gray,Ellis Reco Simms","Joel Robles,Liam Cooper,Rasmus Kristensen,Diogo Pinheiro Monteiro,Brenden Aaronson,Darko Gyabi,Georginio Rutter,Sam Greenwood,Mateo Joseph Fernandez",Sean Dyche,Michael Skubala,Referee: Andrew Madley (England),Feb 18,Venue: Goodison Park,6,0,7,3,8,6,6,4,30,21,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
