home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
Fulham,Aston Villa,3,0,1,0,4-2-3-1,4-3-2-1,",Bernd Leno,Bobby Reid,Issa Diop,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Willian,Andreas Pereira,Neeskens Kebano,Aleksandar Mitrovic",",Danny Ings,Ollie Watkins,Leon Bailey,John McGinn,Douglas Luiz,Jacob Ramsey,Ashley Young,Tyrone Mings,Jan Bednarek,Ezri Konsa,Emiliano Martinez","Marek Rodak,Tosin Adarabioyo,Shane Duffy,Kevin Mbabu,Tom Cairney,Daniel James,Luke Bernard Harris,Harry Wilson,Carlos Vinicius","Robin Olsen,Matty Cash,Calum Chambers,Morgan Sanson,Emiliano Buendia,Marvelous Nakamba,Philippe Coutinho,Leander Dendoncker,Cameron Archer",Marco Silva,Steven Gerrard,Referee: Michael Oliver (England),Oct 20,Venue: Craven Cottage,7,6,5,2,11,11,9,7,24,17,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Leicester City,Leeds United,2,0,2,0,4-1-4-1,4-2-3-1,",Danny Ward,Timothy Castagne,Daniel Amartey,Wout Faes,James Justin,Boubakary Soumare,Dennis Praet,Youri Tielemans,Kiernan Dewsbury-Hall,Harvey Barnes,Jamie Vardy",",Patrick Bamford,Luis Sinisterra,Brenden Aaronson,Crysencio Summerville,Marc Roca,Tyler Adams,Junior Firpo,Diego Llorente,Robin Koch,Rasmus Kristensen,Illan Meslier","Daniel Iversen,Jannik Vestergaard,Luke Thomas,Nampalys Mendy,Sammy Braybrooke,Joe Wormleighton,Kelechi Iheanacho,Ayoze Perez,Patson Daka","Kristoffer Klaesson,Luke Ayling,Liam Cooper,Jack Harrison,Mateusz Klich,Rodrigo,Wilfried Gnonto,Joe Gelhardt,Sam Greenwood",Brendan Rodgers,Jesse Marsch,Referee: Peter Bankes (England),Oct 20,Venue: King Power Stadium,1,2,2,8,15,11,2,9,17,28,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Nottingham Forest,Liverpool,1,0,0,0,4-3-3,4-3-3,",Dean Henderson,Serge Aurier,Steve Cook,Scott McKenna,Neco Williams,Ryan Yates,Remo Freuler,Cheikhou Kouyate,Morgan Gibbs-White,Taiwo Awoniyi,Jesse Lingard",",Fabio Carvalho,Roberto Firmino,Mohamed Salah,Curtis Jones,Fabinho,Harvey Elliott,Andy Robertson,Virgil Van Dijk,Joe Gomez,James Milner,Alisson","Wayne Hennessey,Giulian Biancone,Joe Worrall,Willy Boly,Renan Lodi,Orel Mangala,Brennan Johnson,Sam Surridge,Emmanuel Dennis","Adrian,Caoimhin Kelleher,Kostas Tsimikas,Stefan Bajcetic,Nathaniel Phillips,Trent Alexander-Arnold,Jordan Henderson,Alex Oxlade-Chamberlain,Bobby Clark",Steve Cooper,Jurgen Klopp,Referee: Paul Tierney (England),Oct 22,"Venue: City Ground, Nottingham",7,7,1,8,14,8,2,11,13,30,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Everton,Crystal Palace,3,0,1,0,4-3-3,4-3-3,",Jordan Pickford,Seamus Coleman,Conor Coady,James Tarkowski,Vitaliy Mykolenko,Alex Iwobi,Idrissa Gueye,Amadou Mvom Onana,Anthony Gordon,Dominic Calvert-Lewin,Demarai Gray",",Wilfried Zaha,Odsonne Edouard,Jordan Ayew,Eberechi Eze,Luka Milivojevic,Michael Olise,Tyrick Mitchell,Marc Guehi,Joachim Andersen,Joel Ward,Vicente Guaita","Asmir Begovic,Mason Holgate,Michael Keane,Dwight McNeil,Abdoulaye Doucoure,Tom Davies,James Garner,Neal Maupay,Salomon Rondon","Sam Johnstone,James Tomkins,Kofi Balmer,Jeffrey Schlupp,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta,Malcolm Ebiowei,Killian Phillips",Frank Lampard,Patrick Vieira,Referee: Simon Hooper (England),Oct 22,Venue: Goodison Park,6,2,1,4,16,14,3,4,23,23,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Manchester City,Brighton & Hove Albion,3,1,2,0,4-3-3,3-4-2-1,",Ederson,Manuel Akanji,Ruben Dias,Aymeric Laporte,Joao Cancelo,Kevin De Bruyne,Rodri,Bernardo Silva,Riyad Mahrez,Erling Haaland,Jack Grealish",",Danny Welbeck,Adam Lallana,Pascal Gross,Leandro Trossard,Moisés Caicedo,Alexis MacAllister,Solly March,Adam Webster,Lewis Dunk,Joel Veltman,Robert Sanchez","Stefan Ortega,John Stones,Nathan Ake,Rico Lewis,Ilkay Gundogan,Sergio Gomez,Phil Foden,Cole Palmer,Julian Alvarez","Jason Steele,Tariq Lamptey,Levi Colwill,Jan Paul Van Hecke,Pervis Estupinan,Billy Gilmour,Jeremy Sarmiento,Julio Cesar Enciso,Deniz Undav",Josep Guardiola,Roberto De Zerbi,Referee: Craig Pawson (England),Oct 22,Venue: Etihad Stadium,4,2,3,4,11,12,6,3,9,22,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Chelsea,Manchester United,1,1,0,0,3-4-2-1,4-2-3-1,",Kepa Arrizabalaga,Trevoh Chalobah,Thiago Silva,Marc Cucurella,Cesar Azpilicueta,Jorginho,Ruben Loftus-Cheek,Ben Chilwell,Mason Mount,Raheem Sterling,Pierre-Emerick Aubameyang",",Marcus Rashford,Jadon Sancho,Bruno Fernandes,Antony,Christian Eriksen,Casemiro,Luke Shaw,Lisandro Martinez,Raphael Varane,Diogo Dalot,David De Gea","Edouard Mendy,Mateo Kovacic,Denis Zakaria,Hakim Ziyech,Conor Gallagher,Carney Chukwuemeka,Christian Pulisic,Armando Broja,Kai Havertz","Tom Heaton,Victor Lindelof,Tyrell Malacia,Fred,Facundo Pellistri,Scott McTominay,Zidane Iqbal,Anthony Elanga,Alejandro Garnacho",Graham Potter,Erik ten Hag,Referee: Stuart Attwell (England),Oct 22,Venue: Stamford Bridge,2,6,3,6,8,10,6,4,20,25,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Aston Villa,Brentford,4,0,3,0,4-2-3-1,3-5-2,",Emiliano Martinez,Matty Cash,Ezri Konsa,Tyrone Mings,Ashley Young,Leander Dendoncker,Douglas Luiz,Ollie Watkins,Emiliano Buendia,Leon Bailey,Danny Ings",",Bryan Mbeumo,Ivan Toney,Rico Henry,Mathias Jensen,Vitaly Janelt,Frank Onyeka,Mads Roerslev Rasmussen,Ethan Pinnock,Zanka,Kristoffer Ajer,David Raya","Robin Olsen,Calum Chambers,Jan Bednarek,John McGinn,Morgan Sanson,Marvelous Nakamba,Philippe Coutinho,Jacob Ramsey,Cameron Archer","Matthew Cox,Ben Mee,Josh Dasilva,Yoane Wissa,Shandon Baptiste,Tristan Crama,Sergi Canos,Saman Ghoddos,Mikkel Damsgaard",Aaron Danks,Thomas Frank,Referee: Darren England (England),Oct 23,Venue: Villa Park,11,3,3,5,14,11,7,6,21,31,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Leeds United,Fulham,2,3,1,1,4-1-4-1,4-2-3-1,",Illan Meslier,Luke Ayling,Robin Koch,Liam Cooper,Pascal Struijk,Marc Roca,Jack Harrison,Brenden Aaronson,Sam Greenwood,Luis Sinisterra,Rodrigo",",Aleksandar Mitrovic,Willian,Andreas Pereira,Harry Wilson,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Tosin Adarabioyo,Bobby Reid,Bernd Leno","Joel Robles,Junior Firpo,Diego Llorente,Rasmus Kristensen,Crysencio Summerville,Darko Gyabi,Mateusz Klich,Patrick Bamford,Joe Gelhardt","Marek Rodak,Shane Duffy,Kevin Mbabu,Issa Diop,Neeskens Kebano,Tom Cairney,Josh Onomah,Luke Bernard Harris,Carlos Vinicius",Jesse Marsch,Marco Silva,Referee: Anthony Taylor (England),Oct 23,Venue: Elland Road,5,4,5,2,12,8,3,6,26,22,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Southampton,Arsenal,1,1,0,1,4-4-2,4-2-3-1,",Gavin Bazunu,Lyanco,Duje Caleta-Car,Mohammed Salisu,Romain Perraud,Mohamed Elyounoussi,James Ward-Prowse,Ibrahima Diallo,Stuart Armstrong,Adam Armstrong,Joe Aribo",",Gabriel Jesus,Gabriel Martinelli,Martin Odegaard,Bukayo Saka,Granit Xhaka,Thomas Partey,Takehiro Tomiyasu,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Alex McCarthy,Juan Larios Lopez,Lewis Payne,Moussa Djenepo,Theo Walcott,Ryan Finnigan,Che Adams,Sekou Mara,Samuel Edozie","Matt Turner,Kieran Tierney,Rob Holding,Cedric Soares,Fabio Vieira,Albert Sambi Lokonga,Eddie Nketiah,Reiss Nelson,Marquinhos",Ralph Hasenhuttl,Mikel Arteta,Referee: Robert Jones (England),Oct 23,Venue: St. Mary's Stadium,3,3,3,4,11,8,9,4,17,21,D,lost at ht and drew ft,won at ht and drew at ft,won either half,won either half
Wolverhampton Wanderers,Leicester City,0,4,0,2,4-2-3-1,4-1-4-1,",Jose Sa,Jonny Otto,Nathan Collins,Max Kilman,Hugo Bueno,Joao Moutinho,Ruben Neves,Adama Traore,Matheus Nunes,Daniel Podence,Diego Costa",",Patson Daka,Harvey Barnes,Kiernan Dewsbury-Hall,Youri Tielemans,James Maddison,Boubakary Soumare,James Justin,Wout Faes,Daniel Amartey,Timothy Castagne,Danny Ward","Matija Sarkic,Rayan Ait-Nouri,Yerson Mosquera,Nelson Semedo,Boubacar Traore,Goncalo Guedes,Joe Hodge,Hwang Hee-chan,Chem Campbell","Daniel Iversen,Caglar Soyuncu,Luke Thomas,Marc Albrighton,Nampalys Mendy,Dennis Praet,Jamie Vardy,Kelechi Iheanacho,Ayoze Perez",Steve Davis,Brendan Rodgers,Referee: Michael Oliver (England),Oct 23,Venue: Molineux Stadium,5,4,8,1,10,13,9,2,17,21,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Tottenham Hotspur,Newcastle United,1,2,0,2,3-5-2,4-3-3,",Hugo Lloris,Davinson Sanchez,Eric Dier,Clement Lenglet,Emerson,Oliver Skipp,Yves Bissouma,Rodrigo Bentancur,Ryan Sessegnon,Harry Kane,Son Heung-min",",Joelinton,Callum Wilson,Miguel Almiron,Joseph Willock,Bruno Guimaraes,Sean Longstaff,Dan Burn,Sven Botman,Fabian Schar,Kieran Trippier,Nick Pope","Fraser Forster,Matt Doherty,Djed Spence,Japhet Tanganga,Ben Davies,Bryan Gil,Ivan Perisic,Lucas Moura,Harvey White","Loris Karius,Jamaal Lascelles,Jamal Lewis,Matt Targett,Javi Manquillo,Jonjo Shelvey,Jacob Murphy,Chris Wood,Ryan Fraser",Antonio Conte,Eddie Howe,Referee: Jarred Gillett (Australia),Oct 23,Venue: Tottenham Hotspur Stadium,5,5,4,3,12,6,6,7,25,18,A,lost at ht and ft,won at ht and won at ft,won either half,won either half
West Ham United,AFC Bournemouth,2,0,1,0,4-2-3-1,3-4-2-1,",Lukasz Fabianski,Ben Johnson,Thilo Kehrer,Kurt Zouma,Aaron Cresswell,Tomas Soucek,Declan Rice,Jarrod Bowen,Flynn Downes,Said Benrahma,Gianluca Scamacca",",Dominic Solanke,Philip Billing,Ryan Christie,Marcus Tavernier,Jefferson Lerma,Lewis Cook,Ryan Fredericks,Adam Smith,Chris Mepham,Marcos Senesi,Neto","Alphonse Areola,Darren Randolph,Vladimir Coufal,Angelo Ogbonna,Emerson,Pablo Fornals,Manuel Lanzini,Conor Coventry,Michail Antonio","Mark Travers,Jack Stacey,Jordan Zemura,Jack Stephens,Joe Rothwell,Junior Stanislas,Ben Pearson,Kieffer Moore,Jaidon Anthony",David Moyes,Gary O'Neil,Referee: David Coote (England),Oct 24,Venue: London Stadium,4,3,7,2,9,11,5,0,24,19,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Leicester City,Manchester City,0,1,0,0,3-4-2-1,4-2-3-1,",Danny Ward,Daniel Amartey,Caglar Soyuncu,Wout Faes,Timothy Castagne,Kiernan Dewsbury-Hall,Youri Tielemans,James Justin,James Maddison,Harvey Barnes,Jamie Vardy",",Julian Alvarez,Jack Grealish,Kevin De Bruyne,Bernardo Silva,Rodri,Ilkay Gundogan,Joao Cancelo,Aymeric Laporte,Manuel Akanji,John Stones,Ederson","Daniel Iversen,Luke Thomas,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Dennis Praet,Kelechi Iheanacho,Ayoze Perez,Patson Daka","Stefan Ortega,Scott Carson,Ruben Dias,Nathan Ake,Rico Lewis,Josh Wilson-Esbrand,Sergio Gomez,Phil Foden,Riyad Mahrez",Brendan Rodgers,Josep Guardiola,Referee: Robert Jones (England),Oct 29,Venue: King Power Stadium,5,5,4,7,5,10,3,10,10,13,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
AFC Bournemouth,Tottenham Hotspur,2,3,1,0,4-2-3-1,3-5-2,",Mark Travers,Jordan Zemura,Chris Mepham,Marcos Senesi,Adam Smith,Jefferson Lerma,Lewis Cook,Marcus Tavernier,Dominic Solanke,Philip Billing,Kieffer Moore",",Harry Kane,Son Heung-min,Ryan Sessegnon,Pierre Hojbjerg,Yves Bissouma,Oliver Skipp,Emerson,Ben Davies,Clement Lenglet,Davinson Sanchez,Hugo Lloris","Ryan Fredericks,Jack Stephens,Joe Rothwell,Junior Stanislas,Ben Pearson,Ryan Christie,Jamal Lowe,Jaidon Anthony,","Fraser Forster,Matt Doherty,Eric Dier,Djed Spence,Japhet Tanganga,Bryan Gil,Ivan Perisic,Lucas Moura,Rodrigo Bentancur",Gary O'Neil,Antonio Conte,Referee: Anthony Taylor (England),Oct 29,Venue: Vitality Stadium,4,7,1,8,10,5,2,19,11,12,A,won at ht and lost at ft,lost at ht and won at ft,won either half,won either half
Brentford,Wolverhampton Wanderers,1,1,0,0,4-3-3,4-2-3-1,",David Raya,Kristoffer Ajer,Ben Mee,Ethan Pinnock,Rico Henry,Josh Dasilva,Vitaly Janelt,Mathias Jensen,Bryan Mbeumo,Ivan Toney,Yoane Wissa",",Diego Costa,Daniel Podence,Matheus Nunes,Adama Traore,Boubacar Traore,Ruben Neves,Hugo Bueno,Max Kilman,Nathan Collins,Nelson Semedo,Jose Sa","Matthew Cox,Zanka,Mads Roerslev Rasmussen,Frank Onyeka,Yehor Yarmoliuk,Sergi Canos,Saman Ghoddos,Keane Lewis-Potter,Mikkel Damsgaard","Matija Sarkic,Rayan Ait-Nouri,Yerson Mosquera,Jonny Otto,Goncalo Guedes,Joao Moutinho,Joe Hodge,Hwang Hee-chan,Chem Campbell",Thomas Frank,Steve Davis,Referee: Robert Madley (England),Oct 29,Venue: Gtech Community Stadium,3,4,4,7,10,17,3,6,24,16,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Brighton & Hove Albion,Chelsea,4,1,3,0,4-2-3-1,3-4-2-1,",Robert Sanchez,Solly March,Adam Webster,Lewis Dunk,Pervis Estupinan,Moisés Caicedo,Alexis MacAllister,Pascal Gross,Adam Lallana,Kaoru Mitoma,Leandro Trossard",",Kai Havertz,Mason Mount,Christian Pulisic,Raheem Sterling,Mateo Kovacic,Ruben Loftus-Cheek,Conor Gallagher,Marc Cucurella,Thiago Silva,Trevoh Chalobah,Kepa Arrizabalaga","Jason Steele,Tariq Lamptey,Ed Turns,James Furlong,Billy Gilmour,Andrew Moran,Jeremy Sarmiento,Julio Cesar Enciso,Deniz Undav","Edouard Mendy,Ben Chilwell,Cesar Azpilicueta,Jorginho,Denis Zakaria,Hakim Ziyech,Omari Hutchinson,Pierre-Emerick Aubameyang,Armando Broja",Roberto De Zerbi,Graham Potter,Referee: Andrew Madley (England),Oct 29,Venue: The American Express Community Stadium,9,7,7,4,16,6,8,7,12,22,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Crystal Palace,Southampton,1,0,1,0,4-2-3-1,4-4-2,",Vicente Guaita,Joel Ward,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Jeffrey Schlupp,Luka Milivojevic,Michael Olise,Eberechi Eze,Wilfried Zaha,Odsonne Edouard",",Joe Aribo,Che Adams,Stuart Armstrong,Ibrahima Diallo,James Ward-Prowse,Mohamed Elyounoussi,Romain Perraud,Mohammed Salisu,Duje Caleta-Car,Lyanco,Gavin Bazunu","Sam Johnstone,James Tomkins,Nathaniel Clyne,Will Hughes,Jairo Riedewald,Jack Wells-Morrison,Jordan Ayew,Jean-Philippe Mateta,Malcolm Ebiowei","Alex McCarthy,Juan Larios Lopez,Lewis Payne,Ainsley Maitland-Niles,Moussa Djenepo,Theo Walcott,Adam Armstrong,Sekou Mara,Samuel Edozie",Patrick Vieira,Ralph Hasenhuttl,Referee: Michael Salisbury (England),Oct 29,Venue: Selhurst Park,3,4,4,7,13,12,8,4,9,21,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Newcastle United,Aston Villa,4,0,1,0,4-3-3,4-2-3-1,",Nick Pope,Kieran Trippier,Fabian Schar,Sven Botman,Dan Burn,Sean Longstaff,Bruno Guimaraes,Joseph Willock,Miguel Almiron,Callum Wilson,Joelinton",",Danny Ings,Leon Bailey,Emiliano Buendia,Ollie Watkins,Leander Dendoncker,Douglas Luiz,Ashley Young,Tyrone Mings,Ezri Konsa,Matty Cash,Emiliano Martinez","Loris Karius,Jamaal Lascelles,Matt Targett,Javi Manquillo,Jonjo Shelvey,Jacob Murphy,Allan Saint-Maximin,Chris Wood,Ryan Fraser","Robin Olsen,Calum Chambers,Jan Bednarek,Lucas Digne,John McGinn,Morgan Sanson,Philippe Coutinho,Jacob Ramsey,Cameron Archer",Eddie Howe,Aaron Danks,Referee: Paul Tierney (England),Oct 29,Venue: St James' Park,7,0,10,0,11,11,3,0,24,21,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Fulham,Everton,0,0,0,0,4-2-3-1,4-2-3-1,",Bernd Leno,Bobby Reid,Issa Diop,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Neeskens Kebano,Andreas Pereira,Willian,Aleksandar Mitrovic",",Dominic Calvert-Lewin,Anthony Gordon,Alex Iwobi,Demarai Gray,Amadou Mvom Onana,Idrissa Gueye,Vitaliy Mykolenko,James Tarkowski,Conor Coady,Seamus Coleman,Jordan Pickford","Marek Rodak,Kenny Tete,Tosin Adarabioyo,Shane Duffy,Tom Cairney,Daniel James,Luke Bernard Harris,Harry Wilson,Carlos Vinicius","Asmir Begovic,Nathan Patterson,Mason Holgate,Michael Keane,Dwight McNeil,Abdoulaye Doucoure,Tom Davies,James Garner,Neal Maupay",Marco Silva,Frank Lampard,Referee: John Brooks (England),Oct 29,Venue: Craven Cottage,6,4,10,3,10,7,13,4,23,17,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Liverpool,Leeds United,1,2,1,1,4-3-1-2,4-2-3-1,",Alisson,Trent Alexander-Arnold,Joe Gomez,Virgil Van Dijk,Andy Robertson,Harvey Elliott,Fabinho,Thiago,Roberto Firmino,Mohamed Salah,Darwin Nunez",",Rodrigo,Crysencio Summerville,Brenden Aaronson,Jack Harrison,Marc Roca,Tyler Adams,Pascal Struijk,Liam Cooper,Robin Koch,Rasmus Kristensen,Illan Meslier","Caoimhin Kelleher,Ibrahima Konate,Kostas Tsimikas,Nathaniel Phillips,James Milner,Jordan Henderson,Alex Oxlade-Chamberlain,Curtis Jones,Fabio Carvalho","Joel Robles,Luke Ayling,Junior Firpo,Diego Llorente,Mateusz Klich,Patrick Bamford,Wilfried Gnonto,Joe Gelhardt,Sam Greenwood",Jurgen Klopp,Jesse Marsch,Referee: Michael Oliver (England),Oct 29,Venue: Anfield,10,6,10,6,9,3,14,4,19,32,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Arsenal,Nottingham Forest,5,0,1,0,4-3-3,4-3-3,",Aaron Ramsdale,Ben White,William Saliba,Gabriel Magalhaes,Takehiro Tomiyasu,Martin Odegaard,Thomas Partey,Granit Xhaka,Bukayo Saka,Gabriel Jesus,Gabriel Martinelli",",Jesse Lingard,Taiwo Awoniyi,Morgan Gibbs-White,Cheikhou Kouyate,Remo Freuler,Ryan Yates,Renan Lodi,Scott McKenna,Steve Cook,Serge Aurier,Dean Henderson","Karl Jacob Hein,Kieran Tierney,Rob Holding,Cedric Soares,Fabio Vieira,Albert Sambi Lokonga,Eddie Nketiah,2Reiss Nelson,Marquinhos","Wayne Hennessey,Joe Worrall,Neco Williams,Willy Boly,Orel Mangala,Lewis O'Brien,Brennan Johnson,Sam Surridge,Emmanuel Dennis",Mikel Arteta,Steve Cooper,Referee: Simon Hooper (England),Oct 30,Venue: Emirates Stadium,9,2,5,3,9,8,9,4,19,13,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Manchester United,West Ham United,1,0,1,0,4-2-3-1,4-2-3-1,",David De Gea,Diogo Dalot,Harry Maguire,Lisandro Martinez,Luke Shaw,Casemiro,Christian Eriksen,Anthony Elanga,Bruno Fernandes,Marcus Rashford,Cristiano Ronaldo",",Gianluca Scamacca,Said Benrahma,Flynn Downes,Jarrod Bowen,Declan Rice,Tomas Soucek,Aaron Cresswell,Kurt Zouma,Craig Dawson,Thilo Kehrer,Lukasz Fabianski","Nathan Bishop,Martin Dubravka,Tyrell Malacia,Fred,Facundo Pellistri,Donny Van De Beek,Scott McTominay,Jadon Sancho,Alejandro Garnacho","Alphonse Areola,Ben Johnson,Vladimir Coufal,Angelo Ogbonna,Emerson,Pablo Fornals,Manuel Lanzini,Conor Coventry,Michail Antonio",Erik ten Hag,David Moyes,Referee: Chris Kavanagh (England),Oct 30,Venue: Old Trafford,3,4,7,2,12,10,5,10,13,19,H,won at ht and won at ft,lost at ht and ft,won either half,didnt win either half
Leeds United,AFC Bournemouth,4,3,1,2,4-2-3-1,4-4-2,",Illan Meslier,Rasmus Kristensen,Robin Koch,Liam Cooper,Pascal Struijk,Tyler Adams,Marc Roca,Jack Harrison,Brenden Aaronson,Crysencio Summerville,Rodrigo",",Dominic Solanke,Kieffer Moore,Marcus Tavernier,Jefferson Lerma,Lewis Cook,Philip Billing,Adam Smith,Marcos Senesi,Chris Mepham,Ryan Fredericks,Mark Travers","Kristoffer Klaesson,Luke Ayling,Junior Firpo,Diego Llorente,Mateusz Klich,Wilfried Gnonto,Joe Gelhardt,Sam Greenwood,Mateo Joseph Fernandez","Cameron Plain,Jack Stephens,Jack Stacey,Jordan Zemura,Joe Rothwell,Junior Stanislas,Ben Pearson,Ryan Christie,Jaidon Anthony",Jesse Marsch,Gary O'Neil,Referee: Tony Harrington (England),Nov 5,Venue: Elland Road,4,6,4,1,16,10,13,3,17,17,H,lost at ht and won at ft,won at ht and lost at ft,won either half,won either half
Manchester City,Fulham,2,1,1,1,4-3-3,4-2-3-1,",Ederson,John Stones,Manuel Akanji,Nathan Ake,Joao Cancelo,Kevin De Bruyne,Rodri,Ilkay Gundogan,Bernardo Silva,Julian Alvarez,Jack Grealish",",Carlos Vinicius,Willian,Andreas Pereira,Harry Wilson,Joao Palhinha,Harrison Reed,Antonee Robinson,Tim Ream,Issa Diop,Kenny Tete,Bernd Leno","Stefan Ortega,Ruben Dias,Aymeric Laporte,Rico Lewis,Sergio Gomez,Phil Foden,Cole Palmer,Erling Haaland,Riyad Mahrez","Marek Rodak,Layvin Kurzawa,Tosin Adarabioyo,Shane Duffy,Kevin Mbabu,Tom Cairney,Daniel James,Josh Onomah,Luke Bernard Harris",Josep Guardiola,Marco Silva,Referee: Darren England (England),Nov 5,Venue: Etihad Stadium,5,2,5,1,6,11,9,0,22,11,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Nottingham Forest,Brentford,2,2,1,1,4-3-3,4-3-3,",Dean Henderson,Serge Aurier,Steve Cook,Scott McKenna,Neco Williams,Ryan Yates,Remo Freuler,Cheikhou Kouyate,Morgan Gibbs-White,Brennan Johnson,Emmanuel Dennis",",Yoane Wissa,Keane Lewis-Potter,Bryan Mbeumo,Josh Dasilva,Vitaly Janelt,Mathias Jensen,Rico Henry,Ethan Pinnock,Ben Mee,Mads Roerslev Rasmussen,David Raya","Wayne Hennessey,Joe Worrall,Willy Boly,Renan Lodi,Orel Mangala,Jesse Lingard,Lewis O'Brien,Taiwo Awoniyi,Sam Surridge","Matthew Cox,39Zanka,Frank Onyeka,Tristan Crama,Ryan Trevitt,Yehor Yarmoliuk,Sergi Canos,Saman Ghoddos,Mikkel Damsgaard",Steve Cooper,Thomas Frank,Referee: Andre Marriner (England),Nov 5,"Venue: City Ground, Nottingham",6,2,6,2,10,11,3,3,32,23,D,drew at ht and ft,drew at ht and ft,didnt win either half,didnt win either half
Wolverhampton Wanderers,Brighton & Hove Albion,2,3,2,2,4-3-3,4-2-3-1,",Jose Sa,Nelson Semedo,Nathan Collins,Max Kilman,Hugo Bueno,Boubacar Traore,Ruben Neves,Joao Moutinho,Goncalo Guedes,Hwang Hee-chan,Daniel Podence",",Leandro Trossard,Kaoru Mitoma,Adam Lallana,Solly March,Moisés Caicedo,Alexis MacAllister,Pervis Estupinan,Lewis Dunk,Adam Webster,Pascal Gross,Robert Sanchez","Matija Sarkic,Rayan Ait-Nouri,Yerson Mosquera,Jonny Otto,Connor Ronan,Joe Hodge,Harvey Griffiths,Adama Traore,Nathan Fraser","Jason Steele,Tariq Lamptey,Levi Colwill,Joel Veltman,Billy Gilmour,Danny Welbeck,Jeremy Sarmiento,Julio Cesar Enciso,Deniz Undav",Steve Davis,Roberto De Zerbi,Referee: Graham Scott (England),Nov 5,Venue: Molineux Stadium,5,8,1,7,15,11,4,9,9,17,A,drew at ht and lost at ft,drew at ht and won at ft,didnt win either half,won either half
Everton,Leicester City,0,2,0,1,4-3-3,4-1-4-1,",Jordan Pickford,Seamus Coleman,Conor Coady,James Tarkowski,Vitaliy Mykolenko,Amadou Mvom Onana,Idrissa Gueye,Alex Iwobi,Dwight McNeil,Dominic Calvert-Lewin,Demarai Gray",",Patson Daka,Harvey Barnes,Youri Tielemans,Kiernan Dewsbury-Hall,James Maddison,Boubakary Soumare,James Justin,Wout Faes,Daniel Amartey,Timothy Castagne,Danny Ward","Asmir Begovic,Nathan Patterson,Mason Holgate,Michael Keane,Anthony Gordon,Abdoulaye Doucoure,Tom Davies,James Garner,Neal Maupay","Daniel Iversen,Jannik Vestergaard,Luke Thomas,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Kelechi Iheanacho,Ayoze Perez",Frank Lampard,Brendan Rodgers,Referee: David Coote (England),Nov 5,Venue: Goodison Park,2,8,6,7,9,5,8,3,20,18,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
